2021-09-21 22:04:37 UTC Syncing #13271737 0x35b2…4f85     0.27 blk/s   30.6 tx/s    1.7 Mgas/s      0+   10 Qed Ancient:#5515416 LI:#13271747   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:04:43 UTC Syncing #13271738 0xe16c…9f18     0.10 blk/s   26.7 tx/s    1.6 Mgas/s      0+    9 Qed Ancient:#5515497 LI:#13271747   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:04:49 UTC Syncing #13271739 0xdebe…5dd6     0.29 blk/s    9.6 tx/s    0.6 Mgas/s      0+    8 Qed Ancient:#5515498 LI:#13271747   19/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:05:06 UTC Syncing #13271739 0xdebe…5dd6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5515743 LI:#13271747   18/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:05:06 UTC Syncing #13271740 0x2400…cfc6     0.07 blk/s    8.7 tx/s    0.7 Mgas/s      0+    7 Qed Ancient:#5516425 LI:#13271747   18/25 peers     19 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:05:06 UTC Syncing #13271740 0x2400…cfc6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5516426 LI:#13271748   18/25 peers    0 bytes chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:05:13 UTC Syncing #13271740 0x2400…cfc6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5516426 LI:#13271748   18/25 peers     78 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:05:19 UTC Syncing #13271741 0x1c5e…13ca     0.20 blk/s   63.6 tx/s    5.6 Mgas/s      0+    6 Qed Ancient:#5516427 LI:#13271748   18/25 peers    109 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:05:48 UTC  Ancient:#5516436 AB:#5519338   13/25 peers    356 KiB chain   68 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:06:09 UTC Imported #13271752 0xd907…3eee (0 txs, 0.00 Mgas, 7 ms, 0.53 KiB)
2021-09-21 22:06:21 UTC  Ancient:#5519175 AB:#5519338   12/25 peers      1 KiB chain  348 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
