2021-05-09 10:45:31 UTC Syncing #12399511 0xb0f9…3fda     0.20 blk/s   67.4 tx/s    3.0 Mgas/s      0+  190 Qed Ancient:#12118738 LI:#12399702   31/50 peers      3 MiB chain   43 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:45:36 UTC Syncing #12399512 0xb877…849d     0.20 blk/s   47.8 tx/s    3.0 Mgas/s      0+  189 Qed Ancient:#12118738 LI:#12399702   31/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:45:41 UTC Syncing #12399513 0x9341…ed18     0.20 blk/s   54.8 tx/s    3.0 Mgas/s      0+  188 Qed Ancient:#12118738 LI:#12399702   31/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:45:46 UTC Syncing #12399514 0x0e3a…3760     0.20 blk/s   53.2 tx/s    3.0 Mgas/s      0+  188 Qed Ancient:#12118738 LI:#12399703   31/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:45:51 UTC Syncing #12399515 0x20df…7d0a     0.20 blk/s   49.4 tx/s    3.0 Mgas/s      0+  188 Qed Ancient:#12118738 LI:#12399704   30/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:45:56 UTC Syncing #12399516 0xe357…7551     0.20 blk/s   40.8 tx/s    3.0 Mgas/s      0+  187 Qed Ancient:#12118738 LI:#12399704   30/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:46:01 UTC Syncing #12399516 0xe357…7551     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  189 Qed Ancient:#12118738 LI:#12399706   30/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:46:06 UTC Syncing #12399517 0xa173…32d2     0.20 blk/s   59.4 tx/s    3.0 Mgas/s      0+  188 Qed Ancient:#12118738 LI:#12399706   30/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:46:11 UTC Syncing #12399518 0x3ccc…003c     0.20 blk/s   56.2 tx/s    3.0 Mgas/s      0+  187 Qed Ancient:#12118738 LI:#12399706   30/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:46:16 UTC Syncing #12399519 0x4c4f…fe44     0.20 blk/s   58.4 tx/s    3.0 Mgas/s      0+  186 Qed Ancient:#12118738 LI:#12399706   29/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:46:21 UTC Syncing #12399520 0x96fc…e7e1     0.20 blk/s   44.8 tx/s    3.0 Mgas/s      0+  185 Qed Ancient:#12118738 LI:#12399706   30/50 peers      3 MiB chain   42 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:46:26 UTC Syncing #12399521 0xc80f…7d58     0.20 blk/s   44.0 tx/s    3.0 Mgas/s      0+  184 Qed Ancient:#12118738 LI:#12399706   30/50 peers      3 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:46:31 UTC Syncing #12399522 0x1603…4aac     0.20 blk/s   43.0 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12118738 LI:#12399706   30/50 peers      3 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:46:36 UTC Syncing #12399523 0xa0dc…8cae     0.20 blk/s   48.4 tx/s    3.0 Mgas/s      0+  183 Qed Ancient:#12118738 LI:#12399707   30/50 peers      3 MiB chain   41 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
